text,label
Breaking: Scientists discover water on Mars!,REAL
"Donald Trump says vaccines cause autism, experts disagree.",FAKE
NASA confirms successful landing of rover on the moon.,REAL
Click here to win $1000 cash prize now!,FAKE
COVID-19 vaccine found to be safe and effective in trials.,REAL
"Aliens built the pyramids in Egypt, shocking truth revealed.",FAKE
Government launches new scheme to support farmers.,REAL
Actor caught in scandal after fake news spread online.,FAKE
WHO declares end of global pandemic emergency.,REAL
"Miracle cure for diabetes discovered, doctors hate it!",FAKE
